,score,text,klasifikasi
2,1,"['alas', 'cegah', 'keras', 'seksual',  'kampus', 'nadiem', 'makarim', 'permendikbudristek']",Positif
7,5,"['atur', 'simak', 'informasi', 'paham', 'atur']",Positif
8,2,"['atur', 'nadiem', 'makarim', 'cegah', 'keras', 'seksual', 'kampus', 'nilai']",Positif
16,1,"['aksi', 'tolak', 'permendikbudristek', 'ppks', 'cegah', 'zina', 'syariah']",Positif
22,1,"['aneh', 'khilafah', 'milik', 'perangkat', 'atur', 'komprehensif', 'jaga']",Positif
29,1,"['ayo', 'dukung', 'implementasi', 'permendikbudristek', 'ppks', 'wujud', 'penuh', 'hak', 'adil']",Positif
38,1,"['bem', 'fh', 'unmul', 'dukung', 'rektor', 'implementasi', 'permendikbudristek', 'ppks']",Positif
39,1,"['bem', 'ugm', 'dukung', 'implementasi', 'permendikbudristek', 'ppks']",Positif
59,1,"['suka', 'denger', 'bahas', 'permendikbudristek', 'ppks']",Positif
60,1,"['keras', 'seksual', 'atur', 'permendikbudristek', 'ppks', 'kampus']",Positif
67,1,"['gagal', 'paham', 'nadiem', 'tegas', 'permendikbudristek', 'ppks', 'tindak', 'asusila', 'kampus']",Positif
70,3,"['gila', 'berani', 'terang', 'edi', 'walkot', 'bobby', 'berani', 'aparat', 'tindak']",Positif
74,2,"['hadir', 'permendikbudristek', 'ppks', 'desak', 'kampus', 'bentuk', 'satgas', 'unmul']",Positif
78,3,"['bem', 'fakultas', 'geografi', 'sikap', 'dukung', 'desak', 'implementasi', 'permendikbudristek']",Positif
88,1,"['indonesia', 'ribut', 'permendikbudristek', 'ppks']",Positif
101,1,"['nadiem', 'makarim', 'terbit', 'permendikbudristek', 'cegah']",Positif
110,1,"['kemendikbudristek', 'perintah', 'pimpin', 'kampus', 'atur', 'turun', 'permendikbudristek', 'ppks', 'jakarta']",Positif
111,1,"['kementerian', 'didik', 'budaya', 'riset', 'teknologi', 'resmi', 'atur', 'permendikbudristek']",Positif
113,1,"['sabar', 'dedikasi', 'baik', 'guru']",Positif
115,1,"['tanggap', 'aktivis', 'rebut', 'tanggap', 'atur', 'ayo']",Positif
124,1,"['kritik', 'permendikbudristek', 'cegah', 'tangan', 'kekerasan']",Positif
125,3,"['ui', 'satgas', 'kampus', 'indonesia', 'satgas']",Positif
126,1,"['generasi', 'muda', 'policy', 'sby', 'radikalisme', 'tumbuh', 'subur']",Positif
127,1,"['lincolin', 'figur', 'kutip', 'media', 'nyata', 'sikap', 'muhammadiyah']",Positif
134,1,"['mantap', 'kampus', 'satgas', 'ppks']",Positif
138,2,"['menag', 'menteri', 'agama', 'dukung', 'bijak', 'menteri', 'didik', 'budaya', 'riset']",Positif
139,1,"['nadiem', 'makarim', 'ruang', 'lingkup', 'permendikbudristek', 'ristek', 'atur']",Positif
140,1,"['atur', 'permendikbudristek']",Positif
141,1,"['mendikbudristek', 'nadiem', 'makarim', 'permendikbudristek', 'ppks', 'atur', 'kait', 'keras', 'seksual']",Positif
142,1,"['mendikbudristek', 'nadiem', 'makarim', 'tetap', 'atur', 'menteri', 'didik', 'kebudayan', 'riset', 'teknologi']",Positif
149,1,"['mendikbud', 'ristek', 'nadiem', 'makarim', 'arti', 'atur', 'kait', 'cegah']",Positif
150,1,"['terbit', 'permendikbudristek', 'ppks', 'cegah', 'keras', 'seksual']",Positif
152,1,"['miskonsepsi', 'permendikbudristek', 'ppks', 'atur', 'menteri', 'didik', 'budaya', 'riset', 'teknologi']",Positif
153,1,"['satgas', 'ppks', 'sesuai', 'monitoring', 'edukasi']",Positif
161,1,"['nadiem', 'makarim', 'permendikbudristek', 'ristek', 'atur', 'keras', 'seks']",Positif
164,1,"['nadiem', 'topik', 'utama', 'permendikbudristek', 'ristek', 'cegah', 'keras', 'seksual']",Positif
165,1,"['nadiem', 'top', 'influencer', 'dukung', 'sorot', 'media', 'mas', 'menteri']",Positif
168,1,"['padahal', 'unsika', 'bentuk', 'pansel', 'ppks']",Positif
171,1,"['pbnu', 'dukung', 'implementasi', 'permendikbudristek', 'ppks', 'revisi']",Positif
172,1,"['pbnu', 'dukung', 'penuh', 'permendikbudristek', 'ppks', 'baik']",Positif
173,2,"['pbnu', 'sorot', 'suka', 'suka', 'permendikbudristek', 'ppks', 'nadiem', 'tampung']",Positif
177,1,"['cegah', 'tangan', 'keras', 'seksual', 'rundung']",Positif
192,2,"['ganggu', 'atur', 'cegah', 'tangan', 'keras', 'seksual', 'ppks']",Positif
203,2,"['permendikbudristek', 'ppks', 'satgas', 'cegah']",Positif
211,1,"['produk', 'hukum', 'terbit', 'permendikbudristek', 'ppks', 'kemendikbud', 'keluar', 'tim', 'satgas']",Positif
215,2,"['rektor', 'universitas', 'halu', 'oleo', 'uho', 'kendari', 'muhammad', 'zamrun', 'firihu', 'dukung', 'atur', 'menteri', 'didik']",Positif
