,score,text,klasifikasi
1,2,"['abis', 'ribut', 'permendukbidristek', 'ppks', 'ribut', 'dukung', 'live', 'or', 'dukung', 'choice', 'medsos', 'kaya', 'ambigu', 'gitu', 'topik']",Positif
13,1,"['alas', 'cegah', 'keras', 'seksual', 'lingkung', 'kampus', 'mendikbud', 'nadiem', 'makarim', 'permendukbidristek']",Positif
15,1,"['alhasil', 'kalang', 'dukung', 'permendukbidristek', 'ppks', 'anggap', 'permendukbidristek', 'terobos', 'berperspekt']",Positif
16,1,"['alhasil', 'kalang', 'dukung', 'permendukbidristek', 'ppks', 'anggap', 'permendukbidristek', 'terobos', 'perspektif']",Positif
19,2,"['atur', 'teken', 'nadiem', 'makarim', 'cegah', 'tangan', 'keras', 'seksual', 'kampus', 'nilai', 'did']",Positif
21,1,"['ayo', 'dukung', 'implementasi', 'permendikbudristek', 'ppks', 'wujud', 'penuh', 'hak', 'adil']",Positif
27,1,"['bem', 'fh', 'unmul', 'dukung', 'rektor', 'kait', 'implementasi', 'permendukbidristek', 'ppks', 'perhati', 'nsimak']",Positif
28,1,"['bem', 'ugm', 'dukung', 'implementasi', 'permendukbidristek', 'ristek', 'nomor', 'ppks']",Positif
30,1,"['bentuk', 'keras', 'seksual', 'atur', 'permendukbidristek', 'nomor', 'ppks', 'lingkung', 'kampus']",Positif
35,1,"['besok', 'naksi', 'haktp', 'dukung', 'permendukbidristek', 'ristek', 'ppks', 'aman', 'ruu', 'tpks', 'sahkan', 'ruu', 'ppks']",Positif
41,1,"['dampak', 'hadir', 'permendukbidristek', 'ppks', 'mahasiswa', 'harap', 'atur', 'simak', 'opini']",Positif
56,1,"['dosis', 'pupuk', 'tunggal', 'tbm', 'kelapa', 'sawit', 'tanah', 'mineral', 'nsimak', 'informasi', 'teman']",Positif
57,1,"['dosis', 'pupuk', 'tunggal', 'tbm', 'kelapa', 'sawit', 'tanah', 'mineral', 'nsimak', 'informasi', 'teman', 'teman']",Positif
61,2,"['emang', 'ui', 'satgas', 'nsetahu', 'kampus', 'indonesia', 'satgas', 'ks', 'hasil']",Positif
64,1,"['gagal', 'jd', 'asn', 'pimpin', 'nadiem', 'bangga', 'permendukbidristek', 'ppks', 'moga']",Positif
65,1,"['gagal', 'paham', 'nadiem', 'ruang', 'lingkup', 'permendukbidristek', 'ppks', 'tindak', 'asusila', 'kampus']",Positif
67,2,"['gais', 'bantu', 'isi', 'kuisionerku', 'atur', 'tri', 'cegah', 'tangan', 'keras', 'seksual', 'ppks', 'mohon']",Positif
70,2,"['gila', 'berani', 'terang', 'an', 'gin', 'ngubsu', 'edi', 'ama', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nih', 'nma']",Positif
71,2,"['gila', 'berani', 'terang', 'an', 'gin', 'ngubsu', 'edi', 'ama', 'walkot', 'bobby', 'berani', 'naparat', 'tindak', 'nih', 'nmasih']",Positif
74,1,"['gimana', 'sikap', 'pgri', 'permendukbidristek', 'no', 'th', 'ppks', 'mimin']",Positif
77,1,"['good', 'byk', 'yg', 'berani', 'speak', 'out', 'permendukbidristek', 'ppks']",Positif
78,1,"['gubernur', 'sumut', 'biar']",Positif
79,1,"['gw', 'suka', 'denger', 'bahas', 'permendukbidristek', 'ppks']",Positif
81,2,"['hadir', 'permendukbidristek', 'ppks', 'desak', 'kampus', 'bentuk', 'satgas', 'unmul', 'nsimak']",Positif
85,1,"['hai', 'soka', 'permendikbudristek', 'nomor', 'nih', 'mika', 'kasih']",Positif
86,3,"['hallo', 'geografella', 'bem', 'fakultas', 'geografi', 'sikap', 'dukung', 'desak', 'implementasi', 'permendukbidristek', 'ristek']",Positif
87,1,"['hallo', 'menko', 'nyg', 'berita', 'sepele', 'lho', 'biar']",Positif
99,1,"['inti', 'permendukbidristek', 'ppks', 'tau', 'kalo', 'consent', 'ya', 'terma']",Positif
