tanggal,pukul,jam,
23-Nov-21,22:40,22,
24-Nov-21,21:58,21,
23-Nov-21,19:05,19,
23-Nov-21,15:08,15,
23-Nov-21,14:49,14,
23-Nov-21,14:47,14,
20-Nov-21,14:25,14,
23-Nov-21,13:39,13,
23-Nov-21,13:03,13,
23-Nov-21,12:40,12,
23-Nov-21,12:40,12,
23-Nov-21,12:35,12,
23-Nov-21,12:34,12,
23-Nov-21,11:40,11,
25-Nov-21,11:02,11,
27-Nov-21,9:27,09,
27-Nov-21,9:19,09,
27-Nov-21,8:16,08,
27-Nov-21,6:51,06,
27-Nov-21,6:30,06,
27-Nov-21,5:04,05,
27-Nov-21,4:55,04,
27-Nov-21,4:42,04,
27-Nov-21,4:40,04,
27-Nov-21,4:40,04,
20-Nov-21,4:36,04,
22-Nov-21,4:32,04,
21-Nov-21,4:16,04,
20-Nov-21,4:03,04,
20-Nov-21,4:00,04,
22-Nov-21,3:30,03,
26-Nov-21,3:30,03,
22-Nov-21,3:30,03,
27-Nov-21,3:29,03,
27-Nov-21,3:29,03,
26-Nov-21,3:29,03,
28-Nov-21,3:22,03,
20-Nov-21,3:08,03,
22-Nov-21,3:00,03,
22-Nov-21,2:45,02,
22-Nov-21,2:45,02,
23-Nov-21,2:28,02,
22-Nov-21,2:28,02,
23-Nov-21,22:20,22,
22-Nov-21,21:11,21,
22-Nov-21,21:04,21,
24-Nov-21,17:21,17,
23-Nov-21,16:03,16,
22-Nov-21,15:49,15,
22-Nov-21,15:26,15,
22-Nov-21,15:22,15,
28-Nov-21,15:04,15,
28-Nov-21,14:54,14,
26-Nov-21,14:31,14,
26-Nov-21,14:09,14,
26-Nov-21,13:57,13,
27-Nov-21,13:57,13,
24-Nov-21,13:57,13,
22-Nov-21,13:57,13,
28-Nov-21,13:57,13,
28-Nov-21,13:56,13,
27-Nov-21,13:36,13,
23-Nov-21,13:34,13,
23-Nov-21,13:33,13,
27-Nov-21,13:33,13,
26-Nov-21,13:32,13,
23-Nov-21,13:32,13,
27-Nov-21,13:32,13,
23-Nov-21,13:32,13,
24-Nov-21,13:23,13,
24-Nov-21,12:51,12,
24-Nov-21,12:47,12,
22-Nov-21,12:27,12,
27-Nov-21,12:08,12,
20-Nov-21,12:06,12,
22-Nov-21,11:54,11,
26-Nov-21,11:53,11,
20-Nov-21,11:53,11,
20-Nov-21,11:53,11,
20-Nov-21,11:53,11,
20-Nov-21,11:53,11,
24-Nov-21,11:52,11,
24-Nov-21,11:52,11,
22-Nov-21,11:52,11,
22-Nov-21,11:52,11,
22-Nov-21,11:52,11,
22-Nov-21,11:51,11,
23-Nov-21,11:40,11,
24-Nov-21,11:37,11,
24-Nov-21,11:37,11,
23-Nov-21,11:35,11,
22-Nov-21,11:34,11,
23-Nov-21,11:33,11,
25-Nov-21,11:32,11,
22-Nov-21,11:31,11,
26-Nov-21,11:29,11,
25-Nov-21,11:23,11,
20-Nov-21,10:43,10,
27-Nov-21,10:38,10,
27-Nov-21,10:36,10,
27-Nov-21,10:32,10,
27-Nov-21,10:28,10,
27-Nov-21,10:25,10,
27-Nov-21,10:24,10,
27-Nov-21,10:16,10,
28-Nov-21,10:16,10,
27-Nov-21,10:16,10,
27-Nov-21,10:16,10,
27-Nov-21,10:16,10,
27-Nov-21,10:15,10,
27-Nov-21,10:12,10,
27-Nov-21,10:05,10,
27-Nov-21,10:00,10,
26-Nov-21,9:59,09,
27-Nov-21,9:55,09,
27-Nov-21,9:55,09,
27-Nov-21,9:55,09,
27-Nov-21,9:55,09,
27-Nov-21,9:54,09,
27-Nov-21,9:54,09,
22-Nov-21,9:54,09,
22-Nov-21,8:44,08,
26-Nov-21,8:38,08,
24-Nov-21,7:45,07,
27-Nov-21,7:43,07,
22-Nov-21,7:40,07,
26-Nov-21,7:38,07,
26-Nov-21,7:32,07,
24-Nov-21,7:23,07,
24-Nov-21,7:19,07,
24-Nov-21,7:19,07,
24-Nov-21,7:15,07,
26-Nov-21,7:06,07,
24-Nov-21,7:05,07,
22-Nov-21,6:56,06,
26-Nov-21,6:53,06,
27-Nov-21,6:44,06,
26-Nov-21,6:28,06,
22-Nov-21,6:14,06,
23-Nov-21,6:01,06,
25-Nov-21,6:00,06,
23-Nov-21,5:54,05,
23-Nov-21,5:51,05,
26-Nov-21,5:47,05,
23-Nov-21,5:45,05,
24-Nov-21,5:39,05,
24-Nov-21,5:34,05,
25-Nov-21,5:28,05,
24-Nov-21,5:24,05,
26-Nov-21,5:24,05,
25-Nov-21,5:23,05,
23-Nov-21,5:23,05,
21-Nov-21,5:23,05,
26-Nov-21,5:23,05,
25-Nov-21,5:12,05,
23-Nov-21,5:12,05,
26-Nov-21,5:12,05,
26-Nov-21,5:11,05,
27-Nov-21,5:11,05,
27-Nov-21,5:11,05,
21-Nov-21,5:11,05,
23-Nov-21,4:56,04,
25-Nov-21,4:56,04,
23-Nov-21,4:55,04,
26-Nov-21,4:55,04,
26-Nov-21,4:55,04,
24-Nov-21,4:55,04,
27-Nov-21,4:53,04,
26-Nov-21,4:52,04,
26-Nov-21,4:52,04,
25-Nov-21,4:52,04,
22-Nov-21,4:52,04,
23-Nov-21,4:52,04,
26-Nov-21,4:49,04,
26-Nov-21,4:49,04,
27-Nov-21,4:48,04,
26-Nov-21,4:48,04,
22-Nov-21,4:48,04,
26-Nov-21,4:48,04,
27-Nov-21,4:47,04,
23-Nov-21,4:47,04,
22-Nov-21,4:42,04,
26-Nov-21,4:40,04,
26-Nov-21,4:39,04,
25-Nov-21,4:37,04,
22-Nov-21,4:34,04,
26-Nov-21,4:32,04,
26-Nov-21,4:27,04,
26-Nov-21,4:24,04,
26-Nov-21,4:24,04,
23-Nov-21,4:21,04,
26-Nov-21,4:18,04,
24-Nov-21,4:16,04,
26-Nov-21,4:15,04,
22-Nov-21,4:11,04,
25-Nov-21,4:06,04,
24-Nov-21,4:05,04,
26-Nov-21,4:04,04,
23-Nov-21,4:02,04,
23-Nov-21,4:02,04,
21-Nov-21,4:01,04,
21-Nov-21,4:01,04,
24-Nov-21,4:00,04,
24-Nov-21,3:59,03,
24-Nov-21,3:51,03,
26-Nov-21,3:49,03,
24-Nov-21,3:48,03,
25-Nov-21,3:48,03,
24-Nov-21,3:36,03,
26-Nov-21,3:21,03,
23-Nov-21,3:15,03,
27-Nov-21,3:12,03,
25-Nov-21,3:12,03,
26-Nov-21,3:09,03,
21-Nov-21,2:53,02,
22-Nov-21,2:53,02,
22-Nov-21,2:49,02,
20-Nov-21,2:41,02,
25-Nov-21,2:40,02,
24-Nov-21,2:40,02,
25-Nov-21,2:40,02,
25-Nov-21,2:40,02,
21-Nov-21,2:40,02,
26-Nov-21,2:40,02,
26-Nov-21,2:37,02,
25-Nov-21,2:36,02,
25-Nov-21,2:32,02,
26-Nov-21,2:32,02,
25-Nov-21,2:29,02,
25-Nov-21,2:28,02,
22-Nov-21,2:27,02,
26-Nov-21,2:22,02,
22-Nov-21,2:21,02,
26-Nov-21,2:21,02,
24-Nov-21,2:17,02,
25-Nov-21,2:17,02,
26-Nov-21,2:17,02,
25-Nov-21,2:17,02,
22-Nov-21,2:16,02,
26-Nov-21,2:16,02,
26-Nov-21,2:16,02,
27-Nov-21,2:16,02,
26-Nov-21,2:16,02,
26-Nov-21,2:16,02,
24-Nov-21,2:16,02,
22-Nov-21,2:16,02,
27-Nov-21,2:16,02,
21-Nov-21,2:16,02,
26-Nov-21,2:14,02,
20-Nov-21,2:14,02,
27-Nov-21,2:14,02,
24-Nov-21,2:14,02,
26-Nov-21,2:14,02,
26-Nov-21,2:13,02,
28-Nov-21,2:13,02,
28-Nov-21,2:08,02,
20-Nov-21,2:07,02,
20-Nov-21,2:06,02,
20-Nov-21,2:00,02,
22-Nov-21,1:57,01,
27-Nov-21,1:55,01,
25-Nov-21,1:54,01,
24-Nov-21,1:43,01,
23-Nov-21,1:34,01,
26-Nov-21,1:34,01,
22-Nov-21,1:33,01,
23-Nov-21,1:33,01,
23-Nov-21,1:32,01,
22-Nov-21,1:30,01,
22-Nov-21,1:29,01,
23-Nov-21,1:25,01,
24-Nov-21,1:24,01,
24-Nov-21,1:21,01,
24-Nov-21,1:21,01,
24-Nov-21,1:20,01,
22-Nov-21,1:19,01,
22-Nov-21,1:17,01,
22-Nov-21,1:15,01,
25-Nov-21,1:13,01,
25-Nov-21,1:13,01,
24-Nov-21,1:13,01,
26-Nov-21,1:12,01,
25-Nov-21,1:09,01,
27-Nov-21,1:09,01,
27-Nov-21,1:09,01,
21-Nov-21,1:09,01,
26-Nov-21,1:09,01,
23-Nov-21,1:09,01,
23-Nov-21,1:08,01,
24-Nov-21,1:08,01,
25-Nov-21,0:55,00,
25-Nov-21,0:54,00,
23-Nov-21,0:54,00,
22-Nov-21,0:53,00,
21-Nov-21,0:52,00,
24-Nov-21,0:51,00,
27-Nov-21,0:47,00,
24-Nov-21,0:46,00,
25-Nov-21,0:45,00,
23-Nov-21,0:38,00,
21-Nov-21,0:25,00,
22-Nov-21,0:25,00,
26-Nov-21,0:23,00,
24-Nov-21,0:22,00,
23-Nov-21,0:15,00,
26-Nov-21,0:10,00,
28-Nov-21,0:04,00,
21-Nov-21,0:04,00,
23-Nov-21,0:01,00,
25-Nov-21,23:52,23,
24-Nov-21,23:50,23,
26-Nov-21,23:48,23,
25-Nov-21,23:38,23,
23-Nov-21,23:36,23,
20-Nov-21,23:28,23,
20-Nov-21,23:27,23,
21-Nov-21,23:25,23,
21-Nov-21,23:21,23,
25-Nov-21,23:20,23,
25-Nov-21,23:20,23,
27-Nov-21,23:20,23,
20-Nov-21,23:20,23,
24-Nov-21,23:20,23,
24-Nov-21,23:15,23,
25-Nov-21,23:14,23,
27-Nov-21,23:14,23,
24-Nov-21,23:14,23,
26-Nov-21,23:14,23,
26-Nov-21,23:14,23,
22-Nov-21,23:11,23,
