,score,text,klasifikasi
3,1,"['alhasil', 'kalang', 'dukung', 'permendikbudristek', 'ppks', 'anggap', 'permendikbudristek', 'terobos', 'berperspektifxexxa']",Positif
7,2,"['atur', 'teken', 'nadiem', 'makarim', 'cegah', 'tangan', 'keras', 'seksual', 'kampus', 'nilai', 'didxexxa']",Positif
9,1,"['bada', 'sudah', 'baca', 'isi', 'permendikbudristek', 'no', 'ppks', 'dm', 'butuh', 'temen', 'diskusi', 'bikin', 'kaji', 'thank', 'you']",Positif
17,1,"['baksi', 'tolak', 'permendikbudristek', 'ppks', 'cegah', 'zina', 'syariah', 'serbaserbi', 'mmc', 'simak', 'lengkap', 'video', 'berikutxexxa']",Positif
22,1,"['balhasil', 'kalang', 'dukung', 'permendikbudristek', 'ppks', 'anggap', 'permendikbudristek', 'terobos', 'berperspektxexxa']",Positif
26,5,"['bapa', 'isi', 'atur', 'xfxfxax', 'simak', 'informasi', 'paham', 'halhal', 'atur', 'oxexxa']",Positif
32,1,"['bayo', 'dukung', 'implementasi', 'permendikbudristek', 'ppks', 'wujud', 'penuh', 'hak', 'adil', 'oranxexxa']",Positif
36,2,"['bbagaimana', 'dosis', 'pupuk', 'tunggal', 'tbm', 'kelapa', 'sawit', 'tanah', 'mineral', 'simak', 'informasi', 'bagi', 'temantxexxa']",Positif
37,1,"['bbagaimana', 'unggul', 'tanam', 'sehat', 'dapat', 'kebun', 'sawit', 'simak', 'ppks', 'note', 'bexexxa']",Positif
40,1,"['bbanyak', 'guru', 'atur', 'turun', 'kuat', 'permendikbudristek', 'nomor', 'txexxa']",Positif
43,1,"['bbem', 'fh', 'unmul', 'dukung', 'rektor', 'kait', 'implementasi', 'permendikbudristek', 'ppks', 'perhati', 'simakxexxa']",Positif
44,1,"['bbem', 'ugm', 'dukung', 'implementasi', 'permendikbudristek', 'nomor', 'ppks']",Positif
59,1,"['bdengan', 'alas', 'cegah', 'keras', 'seksual', 'lingkung', 'kampus', 'mendikbud', 'nadiem', 'makarim', 'keluar', 'permendikbudristek', 'nxexxa']",Positif
70,1,"['bentah', 'gw', 'suka', 'denger', 'bahas', 'permendikbudristek', 'ppks']",Positif
71,1,"['bentuk', 'keras', 'seksual', 'atur', 'permendikbudristek', 'nomor', 'ppks', 'lingkung', 'kampus', 'httxexxa']",Positif
77,1,"['bgagal', 'paham', 'nadiem', 'tegas', 'ruang', 'lingkup', 'permendikbudristek', 'ppks', 'tindak', 'asusila', 'kampus']",Positif
80,3,"['bgila', 'sudah', 'berani', 'terang', 'gin', 'gubsu', 'edi', 'ama', 'walkot', 'bobby', 'berani', 'aparat', 'tindak', 'nih', 'maxexxa']",Positif
84,1,"['bgubernur', 'sumut', 'biar']",Positif
85,2,"['bhadirnya', 'permendikbudristek', 'ppks', 'desak', 'kampus', 'bentuk', 'satgas', 'unmul', 'simakxexxa']",Positif
87,1,"['bhai', 'soka', 'permendikbudristek', 'nomor', 'nih', 'mika', 'kasih', 'ixexxa']",Positif
89,3,"['bhallo', 'geografella', 'bem', 'fakultas', 'geografi', 'sikap', 'dukung', 'desak', 'implementasi', 'permendikbudristek', 'ristekxexxa']",Positif
90,1,"['bhallo', 'menko', 'yg', 'berita', 'sepele', 'lho', 'biar']",Positif
101,1,"['bimperial', 'sudah', 'indo', 'ribut', 'permendikbudristek', 'ppks', 'xfxfxaxbxfxfxaxbxfxfxaxb']",Positif
109,1,"['bjoki', 'tugas', 'hukum', 'artikel', 'analisis', 'permendikbudristek', 'nomor', 'cegah', 'penanganaxexxa']",Positif
115,1,"['bkarena', 'nadiem', 'makarim', 'terbit', 'permendikbudristek', 'no', 'cegah', 'danxexxa']",Positif
124,1,"['bkemendikbudristek', 'perintah', 'pimpin', 'kampus', 'atur', 'turun', 'permendikbudristek', 'ppks', 'jakarta', 'edunewsxexxa']",Positif
125,1,"['bkementerian', 'didik', 'budaya', 'riset', 'teknologi', 'resmi', 'atur', 'permendikbudristek', 'noxexxa']",Positif
127,1,"['bkesabaran', 'dedikasi', 'baik', 'guru', 'bawa', 'titik', 'terima', 'kasih', 'semuaxexxa']",Positif
129,1,"['bkirakira', 'tanggap', 'aktivis', 'rebut', 'tanggap', 'atur', 'ayo', 'cari', 'lengkap', 'dxexxa']",Positif
138,1,"['bkritikan', 'kait', 'permendikbudristek', 'nomor', 'cegah', 'tangan', 'kekerasanxexxa']",Positif
139,3,"['blah', 'emang', 'ui', 'sudah', 'satgas', 'tahu', 'satu', 'kampus', 'indonesia', 'satgas', 'ks', 'hasilxexxa']",Positif
140,1,"['blalu', 'dampak', 'hadir', 'permendikbudristek', 'ppks', 'mahasiswa', 'harap', 'atur', 'simak', 'opinixexxa']",Positif
143,1,"['blihat', 'generasi', 'muda', 'gegara', 'policy', 'sby', 'noenemypolicy', 'radikalisme', 'biar', 'tumbuh', 'subur', 'maxexxa']",Positif
144,1,"['blincolin', 'figur', 'atas', 'kutip', 'media', 'nyata', 'sikap', 'muhammadiyah', 'anggap', 'permexexxa']",Positif
151,1,"['bmantap', 'banget', 'kampus', 'satgas', 'ppks', 'coy']",Positif
155,2,"['bmenag', 'menteri', 'agama', 'dukung', 'bijak', 'menteri', 'didik', 'budaya', 'riset', 'txexxa']",Positif
156,1,"['bmendikbud', 'ristek', 'nadiem', 'makarim', 'ruang', 'lingkup', 'permendikbudristek', 'ristek', 'nomor', 'atur', 'soxexxa']",Positif
157,1,"['bmendikbud', 'ristek', 'ruang', 'lingkup', 'atur', 'mendikbud', 'ristek', 'permendikbudristek', 'ristek', 'nomor', 'xexxa']",Positif
158,1,"['bmendikbudristek', 'nadiem', 'makarim', 'permendikbudristek', 'ppks', 'xexxchanyaxexxd', 'atur', 'kait', 'keras', 'seksual', 'tetapxexxa']",Positif
159,1,"['bmendikbudristek', 'nadiem', 'makarim', 'tetap', 'atur', 'menteri', 'didik', 'kebudayan', 'riset', 'teknologi', 'permendikxexxa']",Positif
167,1,"['bmerasa', 'damping', 'dengar', 'terbit', 'permendikbudristek', 'ppks', 'cegah', 'tangan', 'keras', 'seksual', 'dihaxexxa']",Positif
169,1,"['bmiskonsepsi', 'permendikbudristek', 'ppks', 'atur', 'menteri', 'didik', 'budaya', 'riset', 'teknologi', 'permendikbudrxexxa']",Positif
170,1,"['bmogamoga', 'satgas', 'ppks', 'beneran', 'amp', 'jalan', 'sesuai', 'fungsi', 'monitoring', 'amp', 'edukasi', 'ngga', 'cuman', 'kerenkerenxexxa']",Positif
178,1,"['bnadiem', 'makarim', 'ruang', 'lingkup', 'permendikbudristek', 'ristek', 'nomor', 'atur', 'keras', 'seksxexxa']",Positif
185,1,"['bnadiem', 'tekan', 'topik', 'utama', 'permendikbudristek', 'ristek', 'cegah', 'keras', 'seksual', 'lingkung', 'kxexxa']",Positif
190,1,"['bpadahal', 'dapet', 'kabar', 'unsika', 'sudah', 'bentuk', 'pansel', 'ppks']",Positif
192,1,"['bpala', 'kau', 'thogut', 'ni', 'yg', 'suka', 'catcalling', 'ga', 'tuju']",Positif
193,1,"['bpbnu', 'dukung', 'implementasi', 'permendikbudristek', 'ppks', 'revisi']",Positif
194,1,"['bpbnu', 'dukung', 'penuh', 'permendikbudristek', 'ppks', 'baik']",Positif
195,2,"['bpbnu', 'sorot', 'suka', 'suka', 'permendikbudristek', 'ppks', 'nadiem', 'tampung']",Positif
